2023-09-12 02:01:46,392 - ERROR - Error at city_id: 1 parsing JSON: 'NoneType' object has no attribute 'contents'
2023-09-12 02:01:46,392 - ERROR - Error at city_id: 1 parsing JSON: 'NoneType' object has no attribute 'contents'
2023-09-12 02:01:46,392 - ERROR - Error at city_id: 1 grabbing image URL: 'NoneType' object is not subscriptable
2023-09-12 02:01:46,393 - ERROR - Error at city_id: 1 grabbing image URL: 'NoneType' object is not subscriptable
2023-09-12 02:01:47,235 - INFO - Downloaded image for city_id: 1, 1 of 7
2023-09-12 02:01:47,987 - INFO - Downloaded image for city_id: 1, 2 of 7
2023-09-12 02:01:48,862 - INFO - Downloaded image for city_id: 1, 3 of 7
2023-09-12 02:01:49,644 - INFO - Downloaded image for city_id: 1, 4 of 7
2023-09-12 02:01:50,727 - INFO - Downloaded image for city_id: 1, 5 of 7
2023-09-12 02:01:52,355 - INFO - Downloaded image for city_id: 1, 6 of 7
2023-09-12 02:01:55,992 - INFO - Downloaded image for city_id: 1, 7 of 7
2023-09-12 02:01:56,907 - INFO - Downloaded image for city_id: 2, 1 of 13
2023-09-12 02:01:57,087 - INFO - Downloaded image for city_id: 2, 2 of 13
2023-09-12 02:01:57,370 - INFO - Downloaded image for city_id: 2, 3 of 13
2023-09-12 02:01:57,516 - INFO - Downloaded image for city_id: 2, 4 of 13
2023-09-12 02:01:57,814 - INFO - Downloaded image for city_id: 2, 5 of 13
2023-09-12 02:01:58,054 - INFO - Downloaded image for city_id: 2, 6 of 13
2023-09-12 02:01:58,166 - INFO - Downloaded image for city_id: 2, 7 of 13
2023-09-12 02:01:58,385 - INFO - Downloaded image for city_id: 2, 8 of 13
2023-09-12 02:01:58,490 - INFO - Downloaded image for city_id: 2, 9 of 13
2023-09-12 02:01:58,800 - INFO - Downloaded image for city_id: 2, 10 of 13
2023-09-12 02:01:58,919 - INFO - Downloaded image for city_id: 2, 11 of 13
2023-09-12 02:01:59,111 - INFO - Downloaded image for city_id: 2, 12 of 13
2023-09-12 02:01:59,343 - INFO - Downloaded image for city_id: 2, 13 of 13
2023-09-12 02:02:32,811 - ERROR - WARNING: City of Albuquerque INVALID SCRAPING TECHNIQUE
2023-09-12 02:02:35,165 - INFO - Downloaded image for city_id: 3, 1 of 10
2023-09-12 02:02:37,151 - INFO - Downloaded image for city_id: 3, 2 of 10
2023-09-12 02:02:42,489 - INFO - Downloaded image for city_id: 3, 3 of 10
2023-09-12 02:02:43,111 - INFO - Downloaded image for city_id: 3, 4 of 10
2023-09-12 02:02:44,760 - INFO - Downloaded image for city_id: 3, 5 of 10
2023-09-12 02:02:51,204 - INFO - Downloaded image for city_id: 3, 6 of 10
2023-09-12 02:02:58,189 - INFO - Downloaded image for city_id: 3, 7 of 10
2023-09-12 02:02:59,202 - INFO - Downloaded image for city_id: 3, 8 of 10
2023-09-12 02:03:06,681 - INFO - Downloaded image for city_id: 3, 9 of 10
2023-09-12 02:04:20,751 - INFO - Downloaded image for city_id: 3, 10 of 10
2023-09-12 02:04:37,949 - INFO - Downloaded image for city_id: 4, 1 of 7
2023-09-12 02:04:38,248 - INFO - Downloaded image for city_id: 4, 2 of 7
2023-09-12 02:04:38,571 - INFO - Downloaded image for city_id: 4, 3 of 7
2023-09-12 02:04:39,218 - INFO - Downloaded image for city_id: 4, 4 of 7
2023-09-12 02:04:39,675 - INFO - Downloaded image for city_id: 4, 5 of 7
2023-09-12 02:04:39,813 - INFO - Downloaded image for city_id: 4, 6 of 7
2023-09-12 02:04:39,964 - INFO - Downloaded image for city_id: 4, 7 of 7
